text,label,language
fuck islam and fuck every muzzie muzzies are wifebeaters and goathumpers the only good muzzie is a dead muzzie i want them all to be good muzzies,1,en
nemu pakaian ini cakep,0,ms
"scottafqh yess lagi lagi masa setiap kali young woo dapat idea itu , ada comel gila",0,ms
i am a victim of rape by an illegal immigrant when i lived in texas mother fucker walks free yes went to hospital yes i went to the police do not you love border towns that protect their own,1,en
laughing out loud keyboard warrior what happened you actually decided to read the kirk propaganda and felt armed throwing a homophobic slur at me is no insult only insecure closet gays like you think queer an,0,en
"saya akan melaporkan anda , saya tidak melakukan apaapa yang salah . ia bukan permintaan yang sukar , dan anda adalah seorang pembuli . saya memberitahu anda saya akan berhenti mengulas jika anda memdimakannya .",1,ms
you claim to be a solider you should be fucking ashamed to ignore that violence is not what makes a man regulated violence makes a man,0,en
mudshark and black diversity,1,en
ayat manusia bangang abadi ini baru separuh tak cukup lagi separuh sepatah haram jemput pun budak,0,ms
actually you are just a retarded faggot,1,en
hesmes malang menang aduh taca icxxs chihoku,1,ms
"saya love yang collab , saya love mereka dinamik , saya love mereka fatherson relationship , saya love bagaimana they care setiap lain jadi banyak !!! . fulgallery asumart",0,ms
the fact that nigger women hate fags is problematic as is the real reason sheboons hate fags negro bucks are percent more likely to be or engage in faggotry they see fags as competition same reason they all hate white women whereas nigbucks see fags as opportunity,1,en
sayang berikan dan dia suami a spinoff jauh dari yang mean girls kelab . nya mendapat membosankan with,0,ms
rindu semporna . kayu . itu sahaja ...,0,ms
but paul nehlen criticized jews though,0,en
i own a business in a black neighborhood and my husband is white answer me this why in the hell does it also what have the dems done for any impoverished neighborhood i will,0,en
soobhyuck superior gay,0,en
"baik pergi mengesahkan , batang dan jane mendapatkan halaman cacat seksual .",1,ms
and that okay von di is married to a nazi and she is agains vaccination,0,en
dapatkan penjana kilt kerja yang betul,1,ms
mengarahkan perbualan tikus chinchilla bolivian,0,ms
"anda tidak dipaksa , tetapi mengambil kegembiraan yang besar untuk meneruskan pelecehan remaja anda ...",1,ms
sudah ninja van pulak lembab,0,ms
lembab tapi bukan lencun,0,ms
hey douchebag anda juga adalah douche . itu sahaja .,1,ms
deport that beaner spic to mexico,1,en
traffic so retarded everywhere,0,en
aku kena insult perangai macam anjing taca w zqfwas,0,ms
swan of tuonela muslim ghetto experience in the vibrant diversity of a stockholm immigrant neighborhood of rats beggars boarded windows,1,en
"kmu boleh sahaja buat darurat politik itu apa ? sembang bangsat la kau ini , itu parti dia lantak dia lah , kau tunggu nasib kau pula nanti ada ke sesiapa yang buat benda yang sama , jangan angkuh la ye",1,ms
hamam doa saya keperluan magnet lashes untuk raya ...,0,ms
hanya pecundang lengkap menulis profil wiski tentang dirinya sendiri ! julai utc,1,ms
the left hinges entirely on the notion that white people are obligated to share any homeland with niggers muslims jews latinos hispanics indians hindus etc asians and any other brown or black third worlders maga altright,1,en
i hate arabs jews are arabs hebrew is fucking arabic we know,1,en
apakah satu lagi contoh hebat betapa sangkarnya sombong ini sebenarnya . saya berfikir untuk melabur wang untuk mengetahui keperibadiannya dan memberi dia pelajaran dalam kehidupan sebenar .,1,ms
the shit that black girls need to do to try and look semi normal is astounding this coon looks like she straightens her hair on an ironing board,1,en
lps anda fagot dengan menga clipboard,1,ms
entitled mudshark whines she too fine to work,1,en
"wow , baik publicity !",0,ms
if that was the case then people would not call me a nigger just because i made a joke,0,en
is anything made to look bad by gentiles anymore in this country the kike freaks own everything,1,en
op asked yeri kepada tulis a gembira birthday mesej untuk them jadi yeri wrote pada yang irene photocard they pulled dalam yang album gembira birthday irene haha redvelvet,0,ms
